ijcnn  lambda = 0.0001
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.00005)


=================== SVRG ====================
SAGA: PASS_GRAD = 16, cost = 0.2054928472953256, optgap = 0.0003340202, time = 16.643333
SAGA: PASS_GRAD = 17, cost = 0.2054984340818617, optgap = 0.0003396070, time = 17.691179
SAGA: PASS_GRAD = 18, cost = 0.2054857133839314, optgap = 0.0003268863, time = 18.734016
SAGA: PASS_GRAD = 19, cost = 0.2054901019555210, optgap = 0.0003312748, time = 19.777485
SAGA: PASS_GRAD = 20, cost = 0.2054824225414112, optgap = 0.0003235954, time = 20.820384
SAGA: PASS_GRAD = 21, cost = 0.2054778663949187, optgap = 0.0003190393, time = 21.863594
SAGA: PASS_GRAD = 22, cost = 0.2054790452165964, optgap = 0.0003202181, time = 22.904540
SAGA: PASS_GRAD = 23, cost = 0.2054776603327641, optgap = 0.0003188332, time = 23.985726
SAGA: PASS_GRAD = 24, cost = 0.2054743073143551, optgap = 0.0003154802, time = 25.067472
SAGA: PASS_GRAD = 25, cost = 0.2054721315751207, optgap = 0.0003133045, time = 26.115403
SAGA: PASS_GRAD = 26, cost = 0.2054743807722700, optgap = 0.0003155537, time = 27.150465
SAGA: PASS_GRAD = 27, cost = 0.2054749576892765, optgap = 0.0003161306, time = 28.189401
SAGA: PASS_GRAD = 28, cost = 0.2054728260340221, optgap = 0.0003139989, time = 29.227415
SAGA: PASS_GRAD = 29, cost = 0.2054739824622087, optgap = 0.0003151554, time = 30.266403
SAGA: PASS_GRAD = 30, cost = 0.2054733554293841, optgap = 0.0003145283, time = 31.303216
SAGA: PASS_GRAD = 31, cost = 0.2054739869651460, optgap = 0.0003151599, time = 32.347648
SAGA: PASS_GRAD = 32, cost = 0.2054734305375220, optgap = 0.0003146034, time = 33.394761
SAGA: PASS_GRAD = 33, cost = 0.2054736223854038, optgap = 0.0003147953, time = 34.449128
SAGA: PASS_GRAD = 34, cost = 0.2054737746573458, optgap = 0.0003149475, time = 35.503711
SAGA: PASS_GRAD = 35, cost = 0.2054735068694321, optgap = 0.0003146798, time = 36.555819
SAGA: PASS_GRAD = 36, cost = 0.2054736675675452, optgap = 0.0003148405, time = 37.603988
SAGA: PASS_GRAD = 37, cost = 0.2054735252782999, optgap = 0.0003146982, time = 38.652449
SAGA: PASS_GRAD = 38, cost = 0.2054736334893704, optgap = 0.0003148064, time = 39.704094
SAGA: PASS_GRAD = 39, cost = 0.2054736337241769, optgap = 0.0003148066, time = 40.747659
SAGA: PASS_GRAD = 40, cost = 0.2054735346921945, optgap = 0.0003147076, time = 41.794030
SAGA: PASS_GRAD = 41, cost = 0.2054736107951552, optgap = 0.0003147837, time = 42.845013
SAGA: PASS_GRAD = 42, cost = 0.2054735909511478, optgap = 0.0003147638, time = 43.894384
SAGA: PASS_GRAD = 43, cost = 0.2054735587592738, optgap = 0.0003147317, time = 44.938085
SAGA: PASS_GRAD = 44, cost = 0.2054735815263152, optgap = 0.0003147544, time = 45.991124
SAGA: PASS_GRAD = 45, cost = 0.2054735517831728, optgap = 0.0003147247, time = 47.041346
SAGA: PASS_GRAD = 46, cost = 0.2054735567755989, optgap = 0.0003147297, time = 48.094926
SAGA: PASS_GRAD = 47, cost = 0.2054735635469407, optgap = 0.0003147364, time = 49.150671
SAGA: PASS_GRAD = 48, cost = 0.2054735620765813, optgap = 0.0003147350, time = 50.211473
SAGA: PASS_GRAD = 49, cost = 0.2054735629559601, optgap = 0.0003147358, time = 51.264220
SAGA: PASS_GRAD = 50, cost = 0.2054735545824151, optgap = 0.0003147275, time = 52.312709
SAGA: PASS_GRAD = 51, cost = 0.2054735657524981, optgap = 0.0003147386, time = 53.356437
SAGA: PASS_GRAD = 52, cost = 0.2054735661337468, optgap = 0.0003147390, time = 54.396106
SAGA: PASS_GRAD = 53, cost = 0.2054735627209053, optgap = 0.0003147356, time = 55.432339
SAGA: PASS_GRAD = 54, cost = 0.2054735661298401, optgap = 0.0003147390, time = 56.470231
SAGA: PASS_GRAD = 55, cost = 0.2054735638534173, optgap = 0.0003147367, time = 57.507932
SAGA: PASS_GRAD = 56, cost = 0.2054735635835514, optgap = 0.0003147365, time = 58.546905
SAGA: PASS_GRAD = 57, cost = 0.2054735658858146, optgap = 0.0003147388, time = 59.582026
SAGA: PASS_GRAD = 58, cost = 0.2054735644255646, optgap = 0.0003147373, time = 60.618101
SAGA: PASS_GRAD = 59, cost = 0.2054735642448655, optgap = 0.0003147371, time = 61.656430
SAGA: PASS_GRAD = 60, cost = 0.2054735639622396, optgap = 0.0003147369, time = 62.694300
SAGA: PASS_GRAD = 61, cost = 0.2054735647663530, optgap = 0.0003147377, time = 63.737120
SAGA: PASS_GRAD = 62, cost = 0.2054735643874807, optgap = 0.0003147373, time = 64.775162
SAGA: PASS_GRAD = 63, cost = 0.2054735644944409, optgap = 0.0003147374, time = 65.820014
SAGA: PASS_GRAD = 64, cost = 0.2054735644796688, optgap = 0.0003147374, time = 66.856557
SAGA: PASS_GRAD = 65, cost = 0.2054735641920435, optgap = 0.0003147371, time = 67.898379
SAGA: PASS_GRAD = 66, cost = 0.2054735650254252, optgap = 0.0003147379, time = 68.937043
SAGA: PASS_GRAD = 67, cost = 0.2054735641088562, optgap = 0.0003147370, time = 69.977237
SAGA: PASS_GRAD = 68, cost = 0.2054735647022859, optgap = 0.0003147376, time = 71.023888
SAGA: PASS_GRAD = 69, cost = 0.2054735644698905, optgap = 0.0003147374, time = 72.067187
SAGA: PASS_GRAD = 70, cost = 0.2054735644589847, optgap = 0.0003147374, time = 73.107475
SAGA: PASS_GRAD = 71, cost = 0.2054735645930105, optgap = 0.0003147375, time = 74.151513
SAGA: PASS_GRAD = 72, cost = 0.2054735644764478, optgap = 0.0003147374, time = 75.193662
SAGA: PASS_GRAD = 73, cost = 0.2054735645189735, optgap = 0.0003147374, time = 76.244951
SAGA: PASS_GRAD = 74, cost = 0.2054735644915743, optgap = 0.0003147374, time = 77.303919
SAGA: PASS_GRAD = 75, cost = 0.2054735644782387, optgap = 0.0003147374, time = 78.344502
SAGA: PASS_GRAD = 76, cost = 0.2054735645010484, optgap = 0.0003147374, time = 79.381805
SAGA: PASS_GRAD = 77, cost = 0.2054735644861189, optgap = 0.0003147374, time = 80.435247
SAGA: PASS_GRAD = 78, cost = 0.2054735645003885, optgap = 0.0003147374, time = 81.484830
SAGA: PASS_GRAD = 79, cost = 0.2054735645024548, optgap = 0.0003147374, time = 82.537808
SAGA: PASS_GRAD = 80, cost = 0.2054735645087428, optgap = 0.0003147374, time = 83.591606
SAGA: PASS_GRAD = 81, cost = 0.2054735645068963, optgap = 0.0003147374, time = 84.648073
SAGA: PASS_GRAD = 82, cost = 0.2054735644983693, optgap = 0.0003147374, time = 85.701196
SAGA: PASS_GRAD = 83, cost = 0.2054735645088341, optgap = 0.0003147374, time = 86.751404
SAGA: PASS_GRAD = 84, cost = 0.2054735645065549, optgap = 0.0003147374, time = 87.803151
SAGA: PASS_GRAD = 85, cost = 0.2054735645044111, optgap = 0.0003147374, time = 88.854764
SAGA: PASS_GRAD = 86, cost = 0.2054735645086661, optgap = 0.0003147374, time = 89.905919
SAGA: PASS_GRAD = 87, cost = 0.2054735645072323, optgap = 0.0003147374, time = 90.967183
SAGA: PASS_GRAD = 88, cost = 0.2054735645070617, optgap = 0.0003147374, time = 92.026050
SAGA: PASS_GRAD = 89, cost = 0.2054735645072335, optgap = 0.0003147374, time = 93.079046
SAGA: PASS_GRAD = 90, cost = 0.2054735645066067, optgap = 0.0003147374, time = 94.120052
SAGA: PASS_GRAD = 91, cost = 0.2054735645068695, optgap = 0.0003147374, time = 95.159011
SAGA: PASS_GRAD = 92, cost = 0.2054735645065903, optgap = 0.0003147374, time = 96.217167
SAGA: PASS_GRAD = 93, cost = 0.2054735645067788, optgap = 0.0003147374, time = 97.272298
SAGA: PASS_GRAD = 94, cost = 0.2054735645068201, optgap = 0.0003147374, time = 98.321790
SAGA: PASS_GRAD = 95, cost = 0.2054735645066394, optgap = 0.0003147374, time = 99.370660
SAGA: PASS_GRAD = 96, cost = 0.2054735645066410, optgap = 0.0003147374, time = 100.417358
SAGA: PASS_GRAD = 97, cost = 0.2054735645067752, optgap = 0.0003147374, time = 101.470393
SAGA: PASS_GRAD = 98, cost = 0.2054735645066988, optgap = 0.0003147374, time = 102.516243
SAGA: PASS_GRAD = 99, cost = 0.2054735645066972, optgap = 0.0003147374, time = 103.557213
SAGA: PASS_GRAD = 100, cost = 0.2054735645067797, optgap = 0.0003147374, time = 104.595643
Max epoch reached: max_epochr = 100
=================== SAG ====================
SAG: Epoch = 000, cost = 0.7181424204170787, optgap = 0.5130
SAG: PASS_GRAD = 1, cost = 0.3510073643353897, optgap = 0.1458485372, time = 1.036633
SAG: PASS_GRAD = 2, cost = 0.3169221514462638, optgap = 0.1117633243, time = 2.077482
SAG: PASS_GRAD = 3, cost = 0.2577570949337074, optgap = 0.0525982678, time = 3.125919
SAG: PASS_GRAD = 4, cost = 0.2325238379444019, optgap = 0.0273650108, time = 4.172857
SAG: PASS_GRAD = 5, cost = 0.2232717481750565, optgap = 0.0181129211, time = 5.218322
SAG: PASS_GRAD = 6, cost = 0.2176654757750045, optgap = 0.0125066487, time = 6.260751
SAG: PASS_GRAD = 7, cost = 0.2144954749422894, optgap = 0.0093366478, time = 7.304989
SAG: PASS_GRAD = 8, cost = 0.2124625505649417, optgap = 0.0073037235, time = 8.351891
SAG: PASS_GRAD = 9, cost = 0.2110480972300966, optgap = 0.0058892701, time = 9.402203
SAG: PASS_GRAD = 10, cost = 0.2100228936761375, optgap = 0.0048640666, time = 10.452562
SAG: PASS_GRAD = 11, cost = 0.2092380916790042, optgap = 0.0040792646, time = 11.500332
SAG: PASS_GRAD = 12, cost = 0.2086233813017290, optgap = 0.0034645542, time = 12.546561
SAG: PASS_GRAD = 13, cost = 0.2081332240139582, optgap = 0.0029743969, time = 13.586445
SAG: PASS_GRAD = 14, cost = 0.2077353116391358, optgap = 0.0025764845, time = 14.628375
SAG: PASS_GRAD = 15, cost = 0.2074075229872731, optgap = 0.0022486959, time = 15.675506
SAG: PASS_GRAD = 16, cost = 0.2071342833502885, optgap = 0.0019754562, time = 16.727110
SAG: PASS_GRAD = 17, cost = 0.2069042204691322, optgap = 0.0017453934, time = 17.776197
SAG: PASS_GRAD = 18, cost = 0.2067083420274623, optgap = 0.0015495149, time = 18.826815
SAG: PASS_GRAD = 19, cost = 0.2065402659606478, optgap = 0.0013814389, time = 19.883975
SAG: PASS_GRAD = 20, cost = 0.2063950196242675, optgap = 0.0012361925, time = 20.936374
SAG: PASS_GRAD = 21, cost = 0.2062687770270562, optgap = 0.0011099499, time = 21.993892
SAG: PASS_GRAD = 22, cost = 0.2061581351863153, optgap = 0.0009993081, time = 23.044984
SAG: PASS_GRAD = 23, cost = 0.2060607281010180, optgap = 0.0009019010, time = 24.155290
SAG: PASS_GRAD = 24, cost = 0.2059746401160763, optgap = 0.0008158130, time = 25.238022
SAG: PASS_GRAD = 25, cost = 0.2058981891040191, optgap = 0.0007393620, time = 26.288081
SAG: PASS_GRAD = 26, cost = 0.2058300483450614, optgap = 0.0006712212, time = 27.349997
SAG: PASS_GRAD = 27, cost = 0.2057691341471570, optgap = 0.0006103070, time = 28.411420
SAG: PASS_GRAD = 28, cost = 0.2057144947342303, optgap = 0.0005556676, time = 29.471937
SAG: PASS_GRAD = 29, cost = 0.2056653177523637, optgap = 0.0005064906, time = 30.531068
SAG: PASS_GRAD = 30, cost = 0.2056209692903060, optgap = 0.0004621422, time = 31.588732
SAG: PASS_GRAD = 31, cost = 0.2055809067326029, optgap = 0.0004220796, time = 32.646848
SAG: PASS_GRAD = 32, cost = 0.2055446729127479, optgap = 0.0003858458, time = 33.703993
SAG: PASS_GRAD = 33, cost = 0.2055117960181661, optgap = 0.0003529689, time = 34.763874
SAG: PASS_GRAD = 34, cost = 0.2054819244153580, optgap = 0.0003230973, time = 35.819827
SAG: PASS_GRAD = 35, cost = 0.2054547292879438, optgap = 0.0002959022, time = 36.879149
SAG: PASS_GRAD = 36, cost = 0.2054299757107753, optgap = 0.0002711486, time = 37.944846
SAG: PASS_GRAD = 37, cost = 0.2054074123860947, optgap = 0.0002485853, time = 38.994066
SAG: PASS_GRAD = 38, cost = 0.2053868317006493, optgap = 0.0002280046, time = 40.044053
SAG: PASS_GRAD = 39, cost = 0.2053680086649616, optgap = 0.0002091816, time = 41.092395
SAG: PASS_GRAD = 40, cost = 0.2053508057758393, optgap = 0.0001919787, time = 42.139330
SAG: PASS_GRAD = 41, cost = 0.2053350670324258, optgap = 0.0001762399, time = 43.189806
SAG: PASS_GRAD = 42, cost = 0.2053206662765787, optgap = 0.0001618392, time = 44.235669
SAG: PASS_GRAD = 43, cost = 0.2053074676457230, optgap = 0.0001486405, time = 45.287753
SAG: PASS_GRAD = 44, cost = 0.2052953767631665, optgap = 0.0001365497, time = 46.333720
SAG: PASS_GRAD = 45, cost = 0.2052842862705027, optgap = 0.0001254592, time = 47.378673
SAG: PASS_GRAD = 46, cost = 0.2052741198202214, optgap = 0.0001152927, time = 48.424803
SAG: PASS_GRAD = 47, cost = 0.2052647888508254, optgap = 0.0001059617, time = 49.476084
SAG: PASS_GRAD = 48, cost = 0.2052562188695255, optgap = 0.0000973918, time = 50.521856
SAG: PASS_GRAD = 49, cost = 0.2052483413852690, optgap = 0.0000895143, time = 51.579397
SAG: PASS_GRAD = 50, cost = 0.2052410964937514, optgap = 0.0000822694, time = 52.624769
SAG: PASS_GRAD = 51, cost = 0.2052344389137269, optgap = 0.0000756118, time = 53.694773
SAG: PASS_GRAD = 52, cost = 0.2052283218689614, optgap = 0.0000694948, time = 54.761020
SAG: PASS_GRAD = 53, cost = 0.2052226924283721, optgap = 0.0000638653, time = 55.821750
SAG: PASS_GRAD = 54, cost = 0.2052175159736349, optgap = 0.0000586889, time = 56.877919
SAG: PASS_GRAD = 55, cost = 0.2052127484301271, optgap = 0.0000539213, time = 57.942624
SAG: PASS_GRAD = 56, cost = 0.2052083585507059, optgap = 0.0000495314, time = 59.005397
SAG: PASS_GRAD = 57, cost = 0.2052043158639484, optgap = 0.0000454888, time = 60.075311
SAG: PASS_GRAD = 58, cost = 0.2052005945700686, optgap = 0.0000417675, time = 61.130896
SAG: PASS_GRAD = 59, cost = 0.2051971668016447, optgap = 0.0000383397, time = 62.189594
SAG: PASS_GRAD = 60, cost = 0.2051940099951995, optgap = 0.0000351829, time = 63.249131
SAG: PASS_GRAD = 61, cost = 0.2051911023860262, optgap = 0.0000322753, time = 64.307645
SAG: PASS_GRAD = 62, cost = 0.2051884224074234, optgap = 0.0000295953, time = 65.369878
SAG: PASS_GRAD = 63, cost = 0.2051859530885427, optgap = 0.0000271260, time = 66.436865
SAG: PASS_GRAD = 64, cost = 0.2051836777329381, optgap = 0.0000248506, time = 67.501092
SAG: PASS_GRAD = 65, cost = 0.2051815807451919, optgap = 0.0000227536, time = 68.564498
SAG: PASS_GRAD = 66, cost = 0.2051796476665691, optgap = 0.0000208206, time = 69.631538
SAG: PASS_GRAD = 67, cost = 0.2051778645292133, optgap = 0.0000190374, time = 70.689700
SAG: PASS_GRAD = 68, cost = 0.2051762201580196, optgap = 0.0000173930, time = 71.747481
SAG: PASS_GRAD = 69, cost = 0.2051747043765454, optgap = 0.0000158773, time = 72.791247
SAG: PASS_GRAD = 70, cost = 0.2051733060877360, optgap = 0.0000144790, time = 73.833325
SAG: PASS_GRAD = 71, cost = 0.2051720155388861, optgap = 0.0000131884, time = 74.874397
SAG: PASS_GRAD = 72, cost = 0.2051708245671066, optgap = 0.0000119975, time = 75.921455
SAG: PASS_GRAD = 73, cost = 0.2051697256239757, optgap = 0.0000108985, time = 76.967071
SAG: PASS_GRAD = 74, cost = 0.2051687122616619, optgap = 0.0000098852, time = 78.012840
SAG: PASS_GRAD = 75, cost = 0.2051677768594736, optgap = 0.0000089498, time = 79.056498
SAG: PASS_GRAD = 76, cost = 0.2051669137587112, optgap = 0.0000080867, time = 80.109169
SAG: PASS_GRAD = 77, cost = 0.2051661168720926, optgap = 0.0000072898, time = 81.157158
SAG: PASS_GRAD = 78, cost = 0.2051653819361822, optgap = 0.0000065548, time = 82.206417
SAG: PASS_GRAD = 79, cost = 0.2051647042522583, optgap = 0.0000058771, time = 83.259959
SAG: PASS_GRAD = 80, cost = 0.2051640789042617, optgap = 0.0000052518, time = 84.322079
SAG: PASS_GRAD = 81, cost = 0.2051635012028839, optgap = 0.0000046741, time = 85.386031
SAG: PASS_GRAD = 82, cost = 0.2051629679192908, optgap = 0.0000041408, time = 86.446711
SAG: PASS_GRAD = 83, cost = 0.2051624755716710, optgap = 0.0000036485, time = 87.509789
SAG: PASS_GRAD = 84, cost = 0.2051620209809092, optgap = 0.0000031939, time = 88.569412
SAG: PASS_GRAD = 85, cost = 0.2051616011999676, optgap = 0.0000027741, time = 89.626994
SAG: PASS_GRAD = 86, cost = 0.2051612134686863, optgap = 0.0000023864, time = 90.687047
SAG: PASS_GRAD = 87, cost = 0.2051608555308951, optgap = 0.0000020284, time = 91.796848
SAG: PASS_GRAD = 88, cost = 0.2051605249551022, optgap = 0.0000016978, time = 92.857331
SAG: PASS_GRAD = 89, cost = 0.2051602196175215, optgap = 0.0000013925, time = 93.919917
SAG: PASS_GRAD = 90, cost = 0.2051599376875078, optgap = 0.0000011106, time = 94.977844
SAG: PASS_GRAD = 91, cost = 0.2051596773657590, optgap = 0.0000008503, time = 96.039133
SAG: PASS_GRAD = 92, cost = 0.2051594369920873, optgap = 0.0000006099, time = 97.104253
SAG: PASS_GRAD = 93, cost = 0.2051592149288140, optgap = 0.0000003878, time = 98.167899
SAG: PASS_GRAD = 94, cost = 0.2051590100144007, optgap = 0.0000001829, time = 99.227746
SAG: PASS_GRAD = 95, cost = 0.2051588208078246, optgap = -0.0000000063, time = 100.376192
Optimality gap tolerance reached: tol_optgap = 1e-12

